cell_id	coords
1329	[[5057, 3476], [5046, 3476], [5037, 3471], [5032, 3466], [5032, 3464], [5030, 3462], [5030, 3460], [5028, 3456], [5028, 3448], [5030, 3448], [5029, 3446], [5029, 3442], [5032, 3436], [5039, 3430], [5041, 3430], [5049, 3426], [5061, 3426], [5069, 3430], [5074, 3437], [5074, 3439], [5076, 3442], [5076, 3444], [5078, 3448], [5076, 3449], [5076, 3450], [5078, 3452], [5078, 3456], [5077, 3457], [5076, 3462], [5073, 3468], [5068, 3472], [5064, 3474], [5062, 3474], [5061, 3475], [5058, 3475], [5057, 3476]]
1330	[[3726, 3433], [3717, 3434], [3716, 3434], [3717, 3433], [3717, 3431], [3716, 3429], [3719, 3428], [3720, 3427], [3726, 3427], [3726, 3433]]
1331	[[2512, 3432], [2512, 3432], [2511, 3431], [2505, 3431], [2504, 3429], [2509, 3428], [2511, 3429], [2512, 3432]]
1332	[[4628, 3488], [4619, 3488], [4618, 3487], [4614, 3487], [4613, 3486], [4610, 3486], [4606, 3484], [4600, 3483], [4596, 3481], [4591, 3477], [4589, 3473], [4590, 3472], [4590, 3470], [4588, 3469], [4588, 3456], [4589, 3455], [4589, 3452], [4591, 3449], [4591, 3447], [4593, 3445], [4595, 3441], [4605, 3433], [4609, 3431], [4611, 3431], [4612, 3430], [4615, 3430], [4616, 3429], [4624, 3430], [4632, 3434], [4636, 3439], [4638, 3443], [4641, 3446], [4645, 3454], [4645, 3469], [4642, 3474], [4642, 3476], [4639, 3482], [4636, 3485], [4632, 3486], [4631, 3487], [4629, 3487], [4628, 3488]]
1333	[[2514, 3451], [2512, 3451], [2511, 3452], [2510, 3451], [2508, 3452], [2502, 3452], [2498, 3450], [2498, 3449], [2499, 3448], [2500, 3449], [2501, 3447], [2501, 3442], [2500, 3440], [2502, 3436], [2504, 3435], [2502, 3434], [2503, 3432], [2505, 3431], [2511, 3431], [2512, 3433], [2511, 3437], [2513, 3437], [2513, 3440], [2514, 3441], [2514, 3447], [2515, 3448], [2514, 3451]]
1334	[[1895, 3436], [1895, 3433], [1895, 3436]]
1335	[[3726, 3435], [3723, 3436], [3722, 3434], [3720, 3437], [3716, 3437], [3717, 3434], [3720, 3434], [3721, 3433], [3726, 3433], [3726, 3435]]
1336	[[2714, 3485], [2708, 3484], [2702, 3481], [2690, 3470], [2690, 3468], [2688, 3466], [2689, 3463], [2687, 3463], [2687, 3452], [2688, 3451], [2690, 3443], [2694, 3439], [2702, 3435], [2707, 3435], [2708, 3434], [2716, 3435], [2724, 3442], [2725, 3446], [2727, 3448], [2727, 3450], [2728, 3451], [2728, 3455], [2729, 3456], [2729, 3458], [2728, 3459], [2730, 3460], [2728, 3472], [2724, 3480], [2721, 3483], [2719, 3484], [2715, 3484], [2714, 3485]]
1337	[[3717, 3450], [3715, 3449], [3715, 3444], [3717, 3440], [3716, 3438], [3721, 3437], [3722, 3436], [3726, 3435], [3726, 3447], [3725, 3448], [3717, 3450]]
1338	[[1895, 3443], [1895, 3437], [1895, 3443]]
1339	[[5667, 3482], [5656, 3482], [5655, 3481], [5651, 3480], [5649, 3478], [5648, 3478], [5640, 3471], [5638, 3467], [5638, 3465], [5637, 3464], [5637, 3459], [5638, 3458], [5638, 3455], [5642, 3450], [5642, 3449], [5644, 3448], [5644, 3447], [5648, 3444], [5652, 3442], [5658, 3441], [5659, 3440], [5670, 3440], [5672, 3441], [5675, 3444], [5676, 3444], [5676, 3446], [5679, 3449], [5679, 3450], [5681, 3452], [5681, 3454], [5683, 3458], [5683, 3459], [5681, 3461], [5681, 3462], [5683, 3464], [5682, 3465], [5682, 3468], [5679, 3474], [5673, 3480], [5671, 3480], [5667, 3482]]
1340	[[5336, 3490], [5327, 3490], [5323, 3488], [5316, 3482], [5316, 3480], [5315, 3479], [5316, 3476], [5314, 3473], [5314, 3471], [5312, 3467], [5312, 3460], [5313, 3459], [5313, 3456], [5314, 3455], [5315, 3451], [5317, 3449], [5317, 3448], [5321, 3445], [5322, 3443], [5326, 3442], [5327, 3441], [5335, 3441], [5343, 3445], [5349, 3451], [5349, 3452], [5352, 3456], [5352, 3459], [5353, 3460], [5353, 3465], [5351, 3467], [5352, 3468], [5353, 3467], [5353, 3468], [5353, 3471], [5352, 3472], [5352, 3475], [5349, 3481], [5344, 3486], [5336, 3490]]
1341	[[2091, 3452], [2090, 3453], [2089, 3452], [2087, 3452], [2086, 3453], [2081, 3453], [2075, 3448], [2072, 3447], [2071, 3445], [2073, 3442], [2081, 3442], [2082, 3443], [2088, 3442], [2088, 3443], [2087, 3444], [2089, 3444], [2092, 3448], [2091, 3452]]
1342	[[6554, 3493], [6551, 3491], [6548, 3491], [6546, 3490], [6544, 3489], [6543, 3485], [6542, 3484], [6543, 3483], [6543, 3477], [6545, 3473], [6544, 3472], [6544, 3470], [6545, 3469], [6546, 3463], [6549, 3457], [6551, 3455], [6551, 3452], [6552, 3450], [6555, 3447], [6563, 3443], [6570, 3443], [6571, 3444], [6574, 3444], [6581, 3448], [6587, 3456], [6587, 3458], [6589, 3462], [6589, 3468], [6587, 3469], [6587, 3471], [6589, 3471], [6588, 3473], [6588, 3476], [6585, 3482], [6580, 3487], [6576, 3489], [6574, 3489], [6569, 3492], [6566, 3492], [6565, 3493], [6554, 3493]]
1343	[[453, 3491], [450, 3489], [447, 3489], [443, 3486], [442, 3486], [440, 3485], [440, 3484], [437, 3482], [437, 3480], [435, 3479], [436, 3478], [436, 3474], [436, 3473], [435, 3476], [434, 3476], [434, 3465], [435, 3464], [436, 3459], [445, 3450], [453, 3446], [463, 3445], [467, 3447], [468, 3446], [469, 3447], [471, 3447], [473, 3448], [475, 3451], [475, 3452], [481, 3457], [481, 3458], [483, 3460], [483, 3462], [484, 3463], [484, 3468], [483, 3469], [483, 3471], [480, 3472], [482, 3473], [482, 3475], [477, 3481], [477, 3482], [474, 3485], [473, 3484], [466, 3489], [464, 3488], [463, 3489], [459, 3489], [458, 3490], [453, 3491]]
1344	[[6530, 3491], [6520, 3490], [6519, 3489], [6517, 3489], [6511, 3486], [6509, 3484], [6505, 3482], [6499, 3476], [6497, 3472], [6498, 3461], [6506, 3452], [6512, 3449], [6514, 3449], [6515, 3448], [6519, 3448], [6520, 3447], [6527, 3447], [6528, 3446], [6534, 3446], [6535, 3447], [6539, 3447], [6540, 3448], [6543, 3448], [6546, 3451], [6546, 3454], [6547, 3455], [6546, 3457], [6546, 3461], [6545, 3462], [6545, 3464], [6543, 3468], [6542, 3474], [6540, 3477], [6540, 3479], [6538, 3483], [6538, 3487], [6536, 3490], [6531, 3490], [6530, 3491]]
1345	[[2883, 3474], [2882, 3473], [2873, 3473], [2872, 3472], [2871, 3473], [2870, 3473], [2870, 3467], [2872, 3465], [2871, 3461], [2870, 3460], [2870, 3458], [2871, 3457], [2870, 3456], [2870, 3454], [2873, 3451], [2875, 3451], [2876, 3452], [2878, 3453], [2878, 3457], [2879, 3459], [2879, 3459], [2878, 3458], [2877, 3460], [2878, 3461], [2879, 3463], [2879, 3462], [2881, 3461], [2882, 3458], [2884, 3461], [2884, 3463], [2885, 3464], [2885, 3469], [2883, 3474]]
1346	[[2856, 3459], [2859, 3456], [2863, 3455], [2864, 3454], [2865, 3454], [2867, 3457], [2865, 3457], [2864, 3456], [2858, 3459], [2856, 3459]]
1347	[[255, 3481], [252, 3480], [252, 3479], [254, 3477], [253, 3475], [253, 3470], [255, 3466], [254, 3465], [260, 3458], [261, 3458], [263, 3456], [265, 3456], [266, 3459], [266, 3461], [268, 3461], [267, 3465], [271, 3466], [272, 3468], [272, 3472], [268, 3478], [264, 3478], [265, 3476], [265, 3474], [262, 3476], [262, 3479], [260, 3479], [259, 3480], [255, 3481]]
1348	[[2857, 3474], [2855, 3473], [2855, 3472], [2853, 3471], [2854, 3468], [2856, 3467], [2854, 3466], [2854, 3463], [2855, 3461], [2857, 3459], [2861, 3457], [2863, 3457], [2864, 3456], [2865, 3457], [2867, 3457], [2869, 3463], [2868, 3469], [2867, 3470], [2869, 3470], [2869, 3468], [2870, 3468], [2869, 3473], [2865, 3473], [2864, 3474], [2857, 3474]]
1349	[[3715, 3459], [3718, 3458], [3719, 3457], [3722, 3457], [3723, 3456], [3726, 3457], [3726, 3459], [3723, 3459], [3722, 3458], [3721, 3460], [3719, 3460], [3718, 3461], [3717, 3461], [3715, 3459]]
1350	[[218, 3509], [213, 3509], [212, 3510], [211, 3509], [206, 3509], [205, 3508], [203, 3508], [199, 3506], [190, 3499], [190, 3498], [188, 3496], [187, 3493], [184, 3489], [183, 3483], [182, 3482], [184, 3480], [186, 3480], [183, 3477], [183, 3473], [187, 3466], [191, 3462], [198, 3458], [201, 3458], [202, 3457], [211, 3457], [212, 3458], [215, 3458], [219, 3460], [229, 3470], [229, 3471], [234, 3477], [234, 3480], [235, 3481], [235, 3483], [233, 3486], [234, 3487], [234, 3489], [228, 3502], [225, 3505], [218, 3509]]
1351	[[1888, 3461], [1882, 3461], [1881, 3460], [1884, 3459], [1885, 3460], [1888, 3461]]
1352	[[3725, 3465], [3722, 3465], [3723, 3459], [3726, 3460], [3726, 3464], [3725, 3465]]
1353	[[1095, 3508], [1091, 3506], [1086, 3502], [1087, 3501], [1086, 3499], [1085, 3499], [1081, 3495], [1081, 3492], [1082, 3491], [1081, 3490], [1081, 3488], [1083, 3485], [1082, 3483], [1083, 3479], [1087, 3474], [1087, 3473], [1090, 3470], [1090, 3469], [1096, 3464], [1100, 3462], [1102, 3462], [1104, 3460], [1109, 3460], [1110, 3461], [1114, 3460], [1115, 3461], [1117, 3461], [1119, 3467], [1119, 3471], [1118, 3472], [1118, 3474], [1117, 3475], [1117, 3477], [1115, 3480], [1115, 3483], [1114, 3484], [1114, 3497], [1110, 3502], [1110, 3503], [1107, 3506], [1103, 3507], [1102, 3508], [1095, 3508]]
1354	[[1894, 3481], [1893, 3478], [1892, 3481], [1891, 3482], [1890, 3482], [1889, 3480], [1888, 3482], [1885, 3482], [1881, 3480], [1882, 3478], [1881, 3477], [1881, 3475], [1884, 3474], [1883, 3473], [1883, 3468], [1882, 3472], [1881, 3472], [1881, 3468], [1882, 3467], [1881, 3464], [1883, 3461], [1890, 3461], [1892, 3462], [1893, 3464], [1894, 3463], [1894, 3464], [1894, 3473], [1895, 3474], [1895, 3476], [1894, 3477], [1894, 3481]]
1355	[[2750, 3479], [2746, 3479], [2743, 3478], [2743, 3469], [2741, 3468], [2741, 3466], [2744, 3465], [2744, 3463], [2747, 3462], [2748, 3461], [2749, 3462], [2752, 3462], [2753, 3464], [2755, 3463], [2757, 3467], [2756, 3470], [2754, 3471], [2756, 3472], [2755, 3473], [2754, 3472], [2753, 3475], [2750, 3476], [2750, 3479]]
1356	[[7479, 3508], [7475, 3510], [7472, 3510], [7471, 3511], [7458, 3511], [7457, 3510], [7454, 3510], [7453, 3509], [7449, 3509], [7445, 3507], [7440, 3503], [7439, 3503], [7434, 3499], [7428, 3488], [7428, 3484], [7427, 3483], [7428, 3482], [7428, 3480], [7427, 3478], [7428, 3477], [7428, 3474], [7430, 3472], [7430, 3471], [7435, 3466], [7439, 3464], [7441, 3464], [7442, 3463], [7453, 3463], [7454, 3464], [7457, 3464], [7458, 3465], [7460, 3465], [7461, 3466], [7469, 3468], [7478, 3473], [7482, 3479], [7483, 3483], [7484, 3484], [7484, 3486], [7485, 3487], [7485, 3494], [7483, 3494], [7484, 3496], [7484, 3500], [7483, 3501], [7482, 3505], [7479, 3508]]
1357	[[3715, 3469], [3715, 3468], [3717, 3466], [3725, 3465], [3726, 3464], [3726, 3465], [3726, 3468], [3722, 3468], [3721, 3466], [3720, 3469], [3715, 3469]]
1358	[[1116, 3490], [1114, 3488], [1114, 3484], [1115, 3483], [1115, 3480], [1117, 3477], [1117, 3475], [1119, 3471], [1119, 3468], [1121, 3465], [1122, 3467], [1123, 3466], [1127, 3468], [1129, 3472], [1129, 3484], [1128, 3486], [1124, 3489], [1118, 3488], [1116, 3490]]
1359	[[3717, 3478], [3715, 3470], [3720, 3469], [3721, 3468], [3722, 3469], [3723, 3468], [3726, 3468], [3726, 3471], [3725, 3472], [3725, 3476], [3724, 3477], [3722, 3477], [3721, 3478], [3717, 3478]]
1360	[[3716, 3488], [3715, 3483], [3716, 3481], [3715, 3480], [3717, 3478], [3721, 3478], [3723, 3477], [3723, 3478], [3722, 3479], [3722, 3481], [3723, 3482], [3724, 3486], [3725, 3476], [3725, 3483], [3726, 3484], [3725, 3485], [3726, 3486], [3725, 3487], [3723, 3486], [3722, 3488], [3720, 3488], [3719, 3489], [3716, 3488]]
1361	[[1886, 3516], [1883, 3515], [1883, 3507], [1884, 3506], [1881, 3504], [1883, 3502], [1883, 3496], [1882, 3495], [1883, 3489], [1881, 3489], [1881, 3481], [1882, 3480], [1884, 3483], [1885, 3482], [1891, 3482], [1892, 3484], [1892, 3482], [1894, 3481], [1895, 3478], [1895, 3482], [1894, 3483], [1894, 3486], [1895, 3487], [1895, 3491], [1894, 3492], [1894, 3512], [1893, 3513], [1893, 3515], [1892, 3516], [1886, 3516]]
1362	[[3268, 3517], [3267, 3515], [3266, 3514], [3266, 3512], [3262, 3508], [3260, 3504], [3260, 3502], [3262, 3501], [3261, 3500], [3260, 3499], [3262, 3495], [3265, 3493], [3265, 3490], [3264, 3488], [3268, 3487], [3270, 3484], [3272, 3484], [3272, 3487], [3275, 3487], [3275, 3486], [3277, 3485], [3280, 3488], [3281, 3491], [3284, 3493], [3286, 3497], [3287, 3502], [3286, 3504], [3284, 3503], [3282, 3504], [3284, 3505], [3286, 3506], [3286, 3507], [3285, 3508], [3284, 3508], [3282, 3510], [3281, 3509], [3277, 3514], [3275, 3515], [3272, 3515], [3268, 3517]]
1363	[[259, 3531], [256, 3529], [254, 3529], [252, 3527], [250, 3527], [244, 3522], [243, 3520], [243, 3518], [242, 3517], [242, 3507], [243, 3506], [243, 3503], [245, 3502], [244, 3501], [244, 3498], [246, 3497], [246, 3494], [248, 3493], [252, 3489], [254, 3490], [256, 3488], [260, 3487], [261, 3486], [274, 3485], [277, 3487], [282, 3488], [283, 3490], [284, 3494], [289, 3502], [287, 3503], [290, 3503], [290, 3506], [291, 3507], [291, 3511], [289, 3514], [289, 3517], [282, 3524], [281, 3524], [279, 3526], [277, 3526], [267, 3531], [259, 3531]]
1364	[[404, 3526], [398, 3523], [389, 3515], [385, 3507], [385, 3502], [388, 3501], [388, 3501], [387, 3500], [393, 3494], [394, 3494], [399, 3490], [409, 3485], [415, 3485], [416, 3486], [420, 3487], [423, 3491], [425, 3495], [425, 3501], [426, 3502], [426, 3506], [424, 3510], [425, 3511], [425, 3513], [421, 3520], [417, 3524], [415, 3525], [412, 3525], [411, 3526], [404, 3526]]
1365	[[3715, 3493], [3716, 3488], [3718, 3489], [3722, 3488], [3723, 3489], [3724, 3487], [3726, 3486], [3726, 3487], [3726, 3491], [3724, 3494], [3718, 3495], [3715, 3493]]
1366	[[6663, 3534], [6660, 3534], [6659, 3535], [6645, 3535], [6639, 3532], [6632, 3527], [6632, 3526], [6628, 3521], [6628, 3519], [6626, 3516], [6626, 3512], [6625, 3511], [6625, 3509], [6626, 3508], [6625, 3507], [6626, 3505], [6626, 3502], [6631, 3495], [6638, 3491], [6653, 3490], [6654, 3491], [6659, 3491], [6660, 3492], [6662, 3492], [6666, 3494], [6669, 3497], [6670, 3497], [6671, 3499], [6672, 3500], [6674, 3504], [6674, 3506], [6675, 3507], [6675, 3511], [6672, 3513], [6674, 3513], [6675, 3515], [6675, 3516], [6672, 3522], [6672, 3524], [6670, 3526], [6668, 3530], [6663, 3534]]
1367	[[3267, 3517], [3263, 3517], [3259, 3513], [3260, 3512], [3259, 3509], [3258, 3508], [3254, 3505], [3255, 3504], [3254, 3503], [3255, 3501], [3253, 3500], [3253, 3497], [3258, 3492], [3263, 3492], [3264, 3491], [3264, 3492], [3259, 3501], [3260, 3502], [3260, 3504], [3262, 3508], [3266, 3512], [3266, 3514], [3267, 3515], [3267, 3517]]
1368	[[3725, 3501], [3723, 3502], [3720, 3502], [3719, 3503], [3716, 3501], [3716, 3495], [3715, 3494], [3716, 3493], [3718, 3495], [3720, 3495], [3721, 3494], [3724, 3494], [3725, 3493], [3725, 3501]]
1369	[[3928, 3542], [3924, 3542], [3923, 3541], [3921, 3541], [3917, 3539], [3910, 3533], [3907, 3527], [3907, 3525], [3906, 3524], [3906, 3521], [3910, 3520], [3907, 3519], [3907, 3515], [3908, 3514], [3908, 3512], [3910, 3508], [3915, 3503], [3919, 3501], [3922, 3501], [3923, 3500], [3931, 3500], [3932, 3501], [3934, 3501], [3937, 3504], [3939, 3508], [3939, 3511], [3940, 3512], [3940, 3517], [3938, 3518], [3939, 3520], [3939, 3531], [3938, 3532], [3938, 3534], [3935, 3539], [3931, 3541], [3929, 3541], [3928, 3542]]
1370	[[3716, 3506], [3716, 3504], [3715, 3503], [3716, 3502], [3717, 3503], [3718, 3502], [3719, 3503], [3720, 3502], [3723, 3502], [3724, 3501], [3725, 3502], [3725, 3505], [3723, 3506], [3718, 3507], [3716, 3506]]
1371	[[3716, 3512], [3715, 3509], [3717, 3506], [3718, 3507], [3720, 3507], [3721, 3506], [3725, 3505], [3726, 3507], [3725, 3511], [3723, 3512], [3720, 3512], [3719, 3513], [3716, 3512]]
1372	[[3725, 3524], [3718, 3525], [3715, 3523], [3716, 3510], [3716, 3512], [3719, 3513], [3720, 3512], [3723, 3512], [3724, 3511], [3725, 3512], [3725, 3517], [3726, 3519], [3725, 3520], [3725, 3524]]
1373	[[6323, 3520], [6322, 3520], [6321, 3519], [6322, 3518], [6323, 3520]]
1374	[[1882, 3521], [1882, 3519], [1882, 3521]]
1375	[[499, 3586], [497, 3586], [496, 3587], [492, 3587], [491, 3586], [485, 3585], [484, 3584], [479, 3584], [477, 3583], [473, 3580], [473, 3579], [472, 3578], [461, 3568], [457, 3560], [458, 3558], [456, 3555], [456, 3550], [455, 3549], [455, 3545], [454, 3544], [455, 3543], [455, 3539], [456, 3538], [457, 3534], [463, 3527], [471, 3523], [474, 3523], [475, 3522], [483, 3522], [484, 3523], [486, 3523], [490, 3526], [491, 3526], [504, 3542], [506, 3546], [507, 3551], [510, 3557], [510, 3560], [511, 3561], [511, 3567], [510, 3568], [510, 3571], [509, 3572], [509, 3576], [508, 3578], [501, 3585], [499, 3586]]
1376	[[1894, 3524], [1894, 3522], [1894, 3524]]
1377	[[1519, 3561], [1512, 3561], [1508, 3559], [1505, 3556], [1504, 3550], [1503, 3549], [1503, 3544], [1502, 3543], [1502, 3535], [1505, 3529], [1508, 3526], [1510, 3526], [1511, 3525], [1518, 3527], [1521, 3531], [1522, 3534], [1528, 3539], [1529, 3540], [1530, 3544], [1532, 3547], [1532, 3553], [1527, 3558], [1525, 3558], [1519, 3561]]
1378	[[1882, 3526], [1882, 3527], [1882, 3527], [1881, 3527], [1882, 3526]]
1379	[[1884, 3534], [1884, 3532], [1883, 3531], [1884, 3529], [1887, 3531], [1891, 3531], [1893, 3529], [1893, 3527], [1894, 3527], [1893, 3533], [1891, 3535], [1886, 3535], [1884, 3534]]
1380	[[7327, 3538], [7322, 3538], [7321, 3537], [7318, 3537], [7319, 3536], [7317, 3535], [7317, 3533], [7321, 3531], [7322, 3528], [7324, 3528], [7325, 3529], [7326, 3528], [7329, 3528], [7331, 3531], [7331, 3533], [7327, 3538]]
1381	[[1882, 3531], [1882, 3529], [1882, 3531]]
1382	[[3725, 3543], [3722, 3543], [3721, 3544], [3716, 3544], [3715, 3542], [3716, 3530], [3718, 3532], [3720, 3531], [3723, 3531], [3724, 3530], [3725, 3531], [3725, 3543]]
1383	[[810, 3573], [804, 3573], [798, 3570], [794, 3566], [793, 3566], [789, 3562], [789, 3558], [790, 3556], [790, 3555], [789, 3556], [784, 3551], [785, 3546], [787, 3543], [786, 3542], [788, 3540], [793, 3540], [793, 3537], [795, 3538], [797, 3537], [798, 3538], [801, 3536], [802, 3533], [806, 3532], [807, 3531], [809, 3531], [813, 3533], [813, 3534], [812, 3535], [815, 3535], [818, 3539], [817, 3540], [820, 3545], [819, 3547], [821, 3550], [821, 3551], [819, 3552], [821, 3553], [820, 3554], [819, 3564], [818, 3566], [815, 3568], [816, 3569], [814, 3571], [810, 3573]]
1384	[[1680, 3546], [1678, 3545], [1677, 3547], [1675, 3546], [1667, 3546], [1666, 3547], [1664, 3546], [1663, 3544], [1662, 3545], [1661, 3543], [1660, 3544], [1659, 3544], [1659, 3542], [1658, 3541], [1659, 3537], [1662, 3534], [1663, 3535], [1664, 3534], [1667, 3534], [1669, 3532], [1675, 3533], [1678, 3536], [1677, 3537], [1679, 3538], [1678, 3539], [1679, 3539], [1682, 3540], [1680, 3546]]
1385	[[1690, 3542], [1686, 3542], [1683, 3545], [1682, 3545], [1683, 3544], [1682, 3543], [1685, 3540], [1687, 3540], [1688, 3541], [1690, 3542]]
1386	[[890, 3544], [889, 3544], [888, 3543], [886, 3543], [885, 3544], [883, 3544], [882, 3543], [885, 3541], [888, 3541], [890, 3544]]
1387	[[1699, 3570], [1697, 3569], [1696, 3570], [1694, 3570], [1692, 3568], [1689, 3568], [1688, 3568], [1689, 3567], [1688, 3566], [1687, 3567], [1683, 3563], [1683, 3561], [1682, 3560], [1682, 3553], [1681, 3552], [1681, 3550], [1682, 3549], [1682, 3546], [1686, 3542], [1693, 3542], [1694, 3543], [1697, 3543], [1700, 3547], [1703, 3553], [1704, 3553], [1704, 3552], [1705, 3552], [1705, 3557], [1703, 3556], [1698, 3557], [1702, 3557], [1703, 3559], [1702, 3560], [1704, 3563], [1703, 3567], [1702, 3567], [1699, 3570]]
1388	[[883, 3578], [880, 3577], [881, 3576], [881, 3575], [879, 3576], [876, 3574], [876, 3571], [877, 3570], [875, 3569], [875, 3565], [874, 3567], [873, 3567], [872, 3565], [871, 3567], [869, 3567], [868, 3559], [870, 3558], [867, 3557], [871, 3553], [871, 3556], [873, 3557], [874, 3557], [874, 3556], [873, 3555], [873, 3553], [875, 3551], [875, 3550], [881, 3545], [885, 3544], [886, 3543], [888, 3543], [889, 3544], [891, 3544], [893, 3547], [894, 3549], [894, 3555], [893, 3556], [892, 3560], [889, 3564], [890, 3566], [888, 3568], [887, 3566], [885, 3567], [886, 3569], [885, 3570], [887, 3572], [886, 3573], [887, 3574], [886, 3578], [883, 3578]]
1389	[[3717, 3557], [3715, 3556], [3715, 3547], [3718, 3546], [3719, 3547], [3720, 3546], [3723, 3546], [3725, 3545], [3725, 3555], [3724, 3556], [3722, 3556], [3721, 3557], [3717, 3557]]
1390	[[1676, 3554], [1676, 3554], [1675, 3553], [1665, 3553], [1660, 3556], [1659, 3556], [1657, 3555], [1657, 3553], [1659, 3553], [1658, 3551], [1660, 3550], [1662, 3547], [1664, 3548], [1667, 3546], [1675, 3546], [1677, 3547], [1677, 3552], [1676, 3554]]
1391	[[1904, 3591], [1900, 3590], [1899, 3589], [1897, 3589], [1894, 3587], [1894, 3585], [1893, 3584], [1893, 3580], [1891, 3578], [1891, 3572], [1893, 3571], [1891, 3570], [1891, 3568], [1892, 3567], [1891, 3566], [1893, 3565], [1894, 3563], [1896, 3563], [1897, 3564], [1900, 3561], [1899, 3560], [1896, 3557], [1896, 3555], [1897, 3554], [1898, 3550], [1903, 3546], [1909, 3546], [1913, 3548], [1917, 3553], [1918, 3555], [1918, 3560], [1917, 3561], [1917, 3564], [1916, 3565], [1917, 3566], [1917, 3569], [1919, 3570], [1919, 3573], [1917, 3577], [1917, 3579], [1918, 3580], [1917, 3585], [1912, 3589], [1910, 3589], [1909, 3590], [1905, 3590], [1904, 3591]]
1392	[[6272, 3591], [6268, 3589], [6265, 3589], [6258, 3585], [6258, 3584], [6255, 3581], [6256, 3579], [6254, 3575], [6254, 3571], [6256, 3569], [6255, 3566], [6254, 3568], [6253, 3567], [6259, 3560], [6260, 3556], [6264, 3554], [6266, 3554], [6269, 3552], [6270, 3553], [6278, 3549], [6285, 3549], [6287, 3550], [6291, 3555], [6292, 3557], [6293, 3563], [6294, 3564], [6294, 3571], [6291, 3573], [6294, 3574], [6293, 3575], [6292, 3579], [6289, 3582], [6287, 3581], [6285, 3582], [6283, 3584], [6282, 3587], [6280, 3589], [6276, 3590], [6278, 3590], [6278, 3591], [6272, 3591]]
1393	[[857, 3568], [855, 3567], [855, 3564], [856, 3562], [858, 3561], [855, 3558], [857, 3556], [859, 3558], [863, 3559], [863, 3559], [862, 3557], [864, 3557], [863, 3555], [866, 3552], [871, 3550], [871, 3553], [866, 3557], [868, 3558], [868, 3562], [869, 3563], [870, 3571], [868, 3571], [867, 3568], [866, 3569], [863, 3569], [859, 3567], [857, 3568]]
1394	[[889, 3581], [888, 3581], [890, 3578], [890, 3571], [891, 3570], [891, 3566], [893, 3564], [892, 3562], [896, 3559], [897, 3557], [896, 3556], [897, 3554], [899, 3552], [900, 3552], [901, 3554], [902, 3557], [905, 3557], [906, 3560], [906, 3563], [907, 3564], [907, 3567], [908, 3568], [907, 3569], [908, 3571], [908, 3575], [907, 3576], [907, 3578], [904, 3582], [892, 3581], [891, 3580], [889, 3581]]
1395	[[1676, 3577], [1673, 3577], [1669, 3574], [1669, 3573], [1665, 3570], [1664, 3566], [1661, 3563], [1659, 3559], [1659, 3557], [1661, 3555], [1663, 3554], [1666, 3554], [1667, 3553], [1675, 3553], [1676, 3555], [1677, 3557], [1678, 3556], [1680, 3557], [1679, 3559], [1681, 3560], [1681, 3562], [1682, 3563], [1682, 3565], [1681, 3566], [1682, 3567], [1681, 3568], [1681, 3570], [1679, 3571], [1679, 3573], [1676, 3576], [1676, 3577]]
1396	[[688, 3630], [681, 3626], [677, 3623], [677, 3622], [675, 3620], [671, 3613], [671, 3611], [669, 3608], [669, 3602], [670, 3601], [670, 3598], [673, 3597], [671, 3593], [671, 3590], [674, 3584], [675, 3579], [678, 3575], [678, 3574], [682, 3570], [683, 3570], [691, 3561], [693, 3560], [696, 3560], [697, 3559], [703, 3559], [715, 3565], [719, 3570], [720, 3573], [725, 3578], [726, 3582], [727, 3583], [727, 3585], [728, 3586], [728, 3593], [726, 3595], [727, 3596], [727, 3598], [727, 3598], [726, 3597], [725, 3597], [726, 3601], [724, 3602], [724, 3609], [723, 3610], [723, 3612], [720, 3616], [719, 3619], [717, 3621], [716, 3621], [713, 3624], [702, 3629], [697, 3629], [696, 3630], [688, 3630]]
1397	[[5924, 3611], [5923, 3610], [5919, 3609], [5913, 3604], [5911, 3600], [5911, 3598], [5910, 3597], [5910, 3592], [5909, 3591], [5909, 3586], [5910, 3585], [5911, 3586], [5912, 3585], [5910, 3584], [5911, 3576], [5914, 3570], [5922, 3563], [5926, 3561], [5929, 3561], [5930, 3560], [5933, 3560], [5934, 3561], [5939, 3561], [5943, 3565], [5943, 3566], [5947, 3570], [5947, 3571], [5952, 3578], [5953, 3584], [5952, 3585], [5952, 3588], [5951, 3589], [5953, 3589], [5953, 3587], [5954, 3587], [5954, 3589], [5952, 3593], [5952, 3597], [5948, 3604], [5944, 3607], [5942, 3607], [5940, 3609], [5934, 3610], [5933, 3611], [5924, 3611]]
1398	[[1891, 3568], [1890, 3569], [1884, 3568], [1882, 3567], [1882, 3564], [1885, 3563], [1886, 3564], [1890, 3564], [1891, 3563], [1891, 3568]]
1399	[[3716, 3575], [3715, 3572], [3716, 3571], [3715, 3569], [3716, 3568], [3715, 3567], [3725, 3565], [3726, 3568], [3726, 3574], [3721, 3574], [3720, 3575], [3716, 3575]]
