Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
463	7244.459712158529	1532.0208202416893	['Aldoc', 'Arc', 'Cdh13', 'Cpne2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gabrg1', 'Gad1', 'Hsd11b1', 'Id2', 'Kctd12', 'Ndnf', 'Neurod6', 'Npy', 'Npy2r', 'Penk', 'Plp1', 'Prkca', 'Rasgrf2', 'Serpine2', 'Slc6a1', 'Synpr', 'Wfs1', 'Zbtb20']	[1.3157503225965097, 0.9952038506613315, 0.9998492365780697, 0.10473053910552724, 6.228745394552551, 7.331754853276084, 2.010580829731467, 0.8838545512359989, 0.9999457726133483, 0.9977975455729922, 8.011587665276352, 0.964371647435209, 0.9736353185963477, 0.852842404399186, 0.9963058777881494, 0.9665281248079027, 1.0000962072085366, 3.7939633131131663, 0.9991809521967193, 0.7871055761733187, 3.207112269122011, 6.959751899117021, 0.9936603597451303, 1.3966817824015532, 0.9965833514863011]	['class_49']	[0.9999119870548318]
464	5492.086169578363	1511.9222793176111	['Pcp4', 'Rgs4', 'Serpine2']	[0.08722429819769843, 0.07196264840356628, 0.06417899933207759]	['class_28', 'class_113', 'Zero']	[0.015632913623338303, 0.023029925170138302, 0.959085772211357]
465	437.0851328039099	1517.2831177219	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Gabrd', 'Grik1', 'Id2', 'Plp1', 'Serpine2', 'Serpini1', 'Thsd7a', 'Tshz2']	[0.9547894873430384, 3.9770305311073155, 0.09127509838897983, 0.8406069916049209, 0.9965221444431277, 0.6969933199937285, 0.0011191665210456515, 2.833822180634062, 0.0047539848442013895, 0.7125759246445742, 0.5738528820843846, 0.6927795935796028]	['class_28', 'class_71', 'class_80']	[0.26460516920879873, 0.005247743051980664, 0.7299218332573026]
466	5493.34060029127	1513.00796439394	['Rgs4']	[0.03410743521876189]	['class_28', 'class_113', 'Zero']	[0.004104976099851536, 0.008605339698787975, 0.9871784509998175]
467	452.6216743865171	1536.1890286503615	['Aldoc', 'Cryab', 'Enpp2', 'Grik1', 'Id2', 'Kit', 'Pcp4', 'Plp1', 'Serpini1', 'Slc6a1', 'Thsd7a']	[0.01575507905487049, 2.022239619072926, 0.1578245329682277, 0.2987125375840841, 0.041406983631114676, 0.997640307695712, 0.8447136811697179, 2.5451403248017868, 0.2555368822057651, 1.9732675293376718, 1.0025462229488658]	['class_28', 'class_80', 'class_103', 'class_113']	[0.9118768450699324, 0.07740807526792762, 0.003588545508988358, 0.0068608290202194075]
468	434.26807645953903	1529.9182951890946	['Aldoc', 'Enpp2', 'Grik1']	[0.0025025257864758304, 0.0013777341209343416, 0.0028089943652855106]	['class_113', 'Zero']	[0.0016407178981584444, 0.997915604545387]
469	1608.0664371496366	1528.0362686476624	['Rab3c', 'Sst']	[0.7157294476636367, 0.003219792345138188]	['class_28', 'class_113', 'Zero']	[0.0017287161278529296, 0.011847151363574119, 0.9864192525550357]
470	5423.430861911404	1529.0095759438404	[]	[]	['class_28', 'class_113', 'Zero']	[0.009501150284933738, 0.015495641441510336, 0.9744445962710916]
471	1587.9977966145336	1546.0405514809054	['Pcp4']	[0.6264895668683775]	['class_113', 'Zero']	[0.0018012725765514418, 0.9978189386957311]
472	5520.34060029127	1533.1789814279311	[]	[]	['class_28', 'class_113', 'Zero']	[0.006674749941955521, 0.01227643916996019, 0.980775513028872]
