Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
11	6934.65142455153	89.27154414351038	['Aldoc', 'Cck', 'Cox6a2', 'Cpne2', 'Cpne7', 'Cryab', 'Cxcl14', 'Gabrg1', 'Hsd11b1', 'Id2', 'Kctd12', 'Nrn1', 'Ntng1', 'Pcp4', 'Rgs4', 'Serpine2', 'Slc6a1', 'Snca', 'Trp53i11', 'Tshz2', 'Zbtb20']	[3.0237493364873957, 0.00220793192781222, 0.008043489244823182, 0.09798499150262936, 0.2714842725817303, 0.013561451409883159, 3.2642276966898462, 0.9832139826412278, 0.9797311427086286, 5.918569821511195, 0.6287087653638436, 0.0037709998060316214, 0.01796148112966969, 0.50360616919771, 1.4445386488462684, 5.171096069543492, 5.6545753484888825, 0.01742967142181556, 0.03629601046342407, 0.0918924603024032, 0.9808584117827022]	['class_2', 'class_30', 'class_49']	[0.0031289180806179577, 0.0014691909975760053, 0.9954002597789233]
12	5649.0910357640505	110.16302833255922	['Arc', 'Cadps2', 'Cck', 'Cox6a2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gabrd', 'Grik1', 'Hsd11b1', 'Ntng1', 'Pcp4', 'Plp1', 'Rgs4', 'Serpine2', 'Slc6a1', 'Tshz2']	[1.9918643367562443, 0.9132568052098146, 0.3994346950851973, 0.9805344657641787, 5.979466066044346, 0.0036645553838701864, 5.085270339498786, 0.9133930956421185, 0.010778949508106185, 0.011286038979220753, 1.2354176138606232, 7.529728529454954, 14.045984951695509, 2.1776054376102003, 0.36803118254158135, 0.024392414763297846, 0.25131720167052657]	['class_80', 'class_99']	[0.9908630544187906, 0.008273907007271172]
13	6385.713984168866	115.66807387862796	['Aldoc', 'Amigo2', 'Cadps2', 'Car4', 'Cck', 'Chrm2', 'Col25a1', 'Cox6a2', 'Cpne7', 'Crym', 'Enpp2', 'Fos', 'Gabrd', 'Grin3a', 'Id2', 'Kctd12', 'Lgals1', 'Neurod6', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Pvalb', 'Qrfpr', 'Rgs4', 'Sema5a', 'Serpine2', 'Tac2', 'Tnfaip6', 'Tshz2', 'Wfs1']	[0.2963527569277952, 2.1639572688090833, 1.9758994664203107, 1.930269835281885, 2.5178626055304734, 0.09861218698655745, 3.975656359948109, 3.675844958350572, 4.935554253663415, 0.0014046924689541675, 0.9376114358853965, 0.7661665376738038, 5.677265497841589, 0.2279251268367689, 2.251819526012974, 0.8600927856148198, 0.670666955354406, 0.9578103072533302, 1.093909373773102, 8.039695819323372, 12.943908404673062, 14.79357461471111, 0.009072531759281889, 7.013683131040595, 0.3587819685248004, 0.10278376917783393, 32.809852829946045, 10.86687326014331, 4.357184879696242, 0.9497948644411823, 0.00913435869790762, 0.6216290409993108, 1.89619603235619]	['class_72', 'class_94']	[0.8940439960713138, 0.10595600357745959]
14	6085.5928270042195	108.62306610407876	['Aldoc', 'Cadps2', 'Cck', 'Cox6a2', 'Cpne2', 'Cryab', 'Cxcl14', 'Id2', 'Lhx6', 'Pcp4', 'Plp1', 'Pnoc', 'Rgs10', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Zbtb20']	[1.123781977897535, 0.9370991817436444, 0.00586487722827394, 1.1062213469134852, 0.4839123126473277, 5.652293950821648, 2.9084932099137455, 0.4618255090315744, 0.8901655646097982, 2.772724285874337, 4.965901144963001, 0.0015364722724454064, 0.5326003555861432, 0.4398582242719634, 0.19620006716239086, 3.8244863823039825, 3.4582974690570096, 0.9851104279099961]	['class_30', 'class_49', 'class_80', 'class_100']	[0.006571819470528471, 0.947364978373757, 0.025270326802856045, 0.019444988885261225]
15	6478.034502262443	113.2539592760181	['Aldoc', 'Amigo2', 'Arc', 'Cadps2', 'Cck', 'Col25a1', 'Cpne7', 'Cryab', 'Crym', 'Cxcl14', 'Enpp2', 'Gabrd', 'Gad1', 'Grin3a', 'Id2', 'Neurod6', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Prkca', 'Pvalb', 'Rgs4', 'Sema5a', 'Serpine2', 'Th', 'Tnfaip6', 'Tshz2']	[2.0071571010990303, 0.006431998536850061, 0.8971063820522639, 0.6016421417207122, 0.0062402599427704465, 0.009463685144915157, 0.8164133467356973, 8.827145924960906, 0.09093574600661766, 0.0058802309121538795, 3.75560617341429, 0.8510373928027868, 0.9929192209622265, 0.022092007779325865, 0.47602973352759104, 0.9185214877312731, 0.21202644601876852, 4.7768614689838635, 2.8259675604237686, 6.538066323355167, 9.539716961159217, 0.3552662079796315, 0.9875914087779362, 0.021786080554600115, 11.912221407426797, 1.2615654175401878, 1.5473560494607905, 0.9469618147760788, 0.0041122108598435556, 0.9052875001735264]	['class_99']	[0.99999983731172]
16	5692.709892362891	125.65248590466427	['Arc', 'Cadps2', 'Cck', 'Cnr1', 'Cox6a2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gabrd', 'Grik1', 'Kcnk2', 'Kit', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Prkca', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tac2', 'Tnfaip6', 'Tshz2', 'Yjefn3', 'Zbtb20']	[0.9915613817662132, 0.024604796136320738, 0.0017713449585105123, 0.003961092523038267, 0.6219739352223026, 6.8370018911044355, 0.9898574523014909, 5.383563688099333, 0.03181271940134474, 0.9776051227108135, 0.9297477145262308, 0.982020033443722, 1.6796341092335003, 1.864313759910125, 2.151570451694631, 11.919872890184797, 0.9882803100661558, 1.375877764054092, 0.9578438340956474, 0.9806851803120095, 0.9932312597687957, 0.005613640573896901, 0.9848010370024307, 0.002709842948475396, 0.9174715340624563, 0.9938670302241663]	['class_80']	[0.999488225358079]
17	6255.840619307833	109.90983606557377	['Aldoc', 'Cck', 'Cox6a2', 'Cryab', 'Cxcl14', 'Hsd11b1', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Pvalb', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Snca', 'Sst', 'Trp53i11']	[0.011191339389759416, 0.06197088755601391, 2.184418642338385, 0.9744193687812677, 0.9897228245935555, 0.14056075172576762, 1.6745139117438366, 0.8263251926415744, 3.6429130724385237, 0.0040023592478654335, 1.8689101250304971, 0.48438340125294377, 4.4605702579081, 2.416599205205877, 3.4167791588130827, 3.900945098598508, 0.9491724830897055, 0.007297556929269045, 0.015219002259946619]	['class_75']	[0.9991269834022815]
18	3969.479219677693	121.41730279898219	['Cadps2', 'Calb2', 'Car4', 'Cck', 'Col25a1', 'Cox6a2', 'Cpne7', 'Cryab', 'Cxcl14', 'Ddit4l', 'Gabrd', 'Gabrg1', 'Grik1', 'Id2', 'Kctd12', 'Neurod6', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Rgs12', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tac2', 'Tshz2', 'Wfs1']	[0.08222045185610465, 0.010023985217960328, 0.007041365892101055, 2.145518021233431, 1.069902549548565, 2.783429468313723, 6.303618031941052, 1.7247399745510976, 2.4160021000705014, 0.0019015526503430038, 6.962325347520656, 0.010628644071506503, 0.8924287813310819, 1.546485461808022, 0.24144020465469432, 0.29974776967211825, 1.893454060467273, 7.372173390804623, 9.239366035722226, 7.719799591664463, 1.0180171873146944, 1.8696990314727968, 0.18282523932748232, 8.38449951861801, 1.1228927047901776, 0.6992188729514648, 0.3401957422892508, 0.19039771154422427, 0.1450541595632662, 1.0357598163556483]	['class_72', 'class_75', 'class_94']	[0.984746006978538, 0.01332040757845504, 0.0019335172546549567]
19	5108.627299703264	124.0780415430267	['Aldoc', 'Cadps2', 'Cck', 'Col25a1', 'Cox6a2', 'Cplx2', 'Cpne2', 'Cpne7', 'Cxcl14', 'Gabrd', 'Grin3a', 'Id2', 'Lgals1', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Plp1', 'Pnoc', 'Rgs4', 'Satb1', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tac2', 'Trp53i11', 'Tshz2']	[0.8063693042582931, 0.0017806519250390842, 4.79573379337213, 1.9818406967483226, 6.950752613780287, 0.005738654219882425, 1.3222650061810912, 11.696094303419077, 1.7617406321773221, 6.791140629648639, 0.06089153360698589, 1.041364929272156, 0.9322463838061448, 0.9944645645978799, 8.13528475697364, 9.640846968602448, 14.268902375808004, 0.018385541543211422, 0.9927953819072041, 0.006989681314925422, 15.837605122920312, 0.6498874261525922, 1.0240824060894957, 1.38676120827235, 0.16806122128825823, 1.978034725975231, 0.21243494054173012, 2.80977122362484]	['class_72']	[0.9998060044882179]
20	7306.330872995673	146.59964367523543	['Aldoc', 'Cryab', 'Gnb4', 'Gpr88', 'Grin3a', 'Htr3a', 'Id2', 'Lamp5', 'Lypd6', 'Nek7', 'Pde1a', 'Rgs4', 'Sema3c', 'Sema5a', 'Serpine2', 'Wfs1', 'Zbtb20']	[1.0076513933807476, 3.976738832944527, 0.9451136359012363, 0.8987523827055998, 0.9202573167296176, 1.8736387594372095, 1.1483551524380657, 0.968453660340383, 0.9676654344420089, 0.0010401039842555912, 2.9215111472206297, 3.9653485986948134, 1.8903007573229607, 0.9872876798893638, 0.9620801902161277, 1.832661036248299, 3.554471510719901]	['class_123']	[0.9999999999702551]
